Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	tree_length
360	-32.76548	-51.69495	18.92947	0.0279643	0.0238292	0.00661556	0.0131623	0.0195615	0.0073127	0.0111739	0.00506052	0.0577733	0.111381	0.00560554	0.00975206	0.00886594	0.0433474	0.0123814	0.0539671	0.0265352	0.0511853	0.0346763	0.00145134	0.00273788	1.51139	0.829538	0.101687	0.327976	0.706239	1.41595	3.04901	9.83407	1.652829	0.6073205	0.0523344	0.0445956	0.0123808	0.0246328	0.0366088	0.0136855	0.0209117	0.0094706	0.108121	0.208446	0.0104906	0.0182507	0.0165923	0.0811234	0.0231715	0.100998	0.0496597	0.0957918	0.0648956	0.00271613	0.00512385	0.5343394
396	-30.2043	-50.15015	19.94585	0.0247037	0.00967321	0.0177717	0.0172445	0.0804077	0.00520399	0.00188151	0.00356751	0.0255636	0.0052237	0.0266284	0.043948	0.0689203	0.0232086	0.000711732	0.0339975	0.0729138	0.00755461	0.00992384	0.129178	0.0163365	0.699226	1.10026	0.145196	0.390196	0.745569	1.34126	2.56282	6.88726	1.395287	0.2118369	0.0395536	0.015488	0.0284547	0.0276105	0.128743	0.00833223	0.00301253	0.00571201	0.0409304	0.00836378	0.0426353	0.0703662	0.11035	0.0371598	0.00113957	0.0544342	0.116744	0.0120959	0.0158893	0.206829	0.0261568	0.6245621
432	-28.55297	-47.83767	19.2847	0.0483155	0.0232228	0.0968701	0.0514787	0.0765349	0.0317697	0.0027799	0.0735219	0.163117	0.0379189	0.173081	0.0299883	0.193388	0.0598459	0.0575785	0.33957	0.120025	0.116602	0.031237	0.137841	0.00825343	0.23021	1.2566	0.183561	0.437466	0.772647	1.29425	2.28589	5.44778	1.225752	0.06106717	0.0257966	0.0123991	0.0517209	0.0274855	0.0408635	0.0169625	0.00148425	0.0392548	0.0870915	0.0202457	0.0924112	0.0160114	0.103254	0.0319529	0.0307423	0.181303	0.0640836	0.0622562	0.0166781	0.073596	0.00440667	1.872939
468	-37.63042	-55.79383	18.16341	0.0769426	0.331269	0.0383681	0.033831	0.0248564	0.00542321	0.000601471	0.0640247	0.0373303	0.025582	0.214735	0.0687226	0.288751	0.110379	0.126607	0.0673953	0.0186213	0.108265	0.37327	0.350268	0.00212667	1.18221	0.939264	0.468664	0.691001	0.891087	1.12222	1.44718	2.13372	0.547991	0.4195515	0.0325013	0.139931	0.016207	0.0142905	0.0104996	0.00229082	0.000254067	0.0270447	0.0157687	0.0108061	0.0907061	0.0290291	0.121971	0.0466252	0.0534802	0.0284685	0.0078658	0.045732	0.157673	0.147957	0.000898326	2.367369
504	-41.05744	-60.36668	19.30924	0.0557636	0.114646	0.00647858	0.0495506	0.0444167	0.0187882	0.0235039	0.00340944	0.0379134	0.0310205	0.11869	0.0504863	0.0193848	0.00441383	0.0574982	0.0235244	0.0154525	0.0239794	0.00988976	0.0703887	0.0882664	0.308535	1.23049	0.0395484	0.206926	0.611712	1.63476	4.83263	25.2855	2.335679	0.0835805	0.0642834	0.132162	0.00746841	0.0571212	0.0512028	0.0216588	0.0270949	0.00393035	0.043706	0.03576	0.136824	0.0581999	0.0223465	0.00508819	0.0662831	0.0271186	0.0178134	0.027643	0.0114008	0.081143	0.101752	0.8674645
540	-33.56704	-53.94926	20.38222	0.0255196	0.107756	0.00108325	0.0129471	0.00925029	0.000692504	0.0457522	0.0107604	0.0131464	0.0452505	0.164001	0.0144041	0.0122054	0.0010285	0.0595291	0.0297018	0.0260981	0.0649195	0.0182268	0.00581688	0.00961283	0.202227	1.26592	0.118687	0.353658	0.723047	1.38304	2.82759	8.42552	1.541052	0.05324884	0.037656	0.159002	0.00159842	0.0191045	0.0136495	0.00102184	0.0675107	0.0158777	0.0193985	0.0667705	0.241996	0.0212543	0.0180099	0.00151762	0.0878396	0.0438271	0.0385097	0.0957935	0.0268949	0.00858323	0.0141844	0.6777027
576	-27.21052	-45.8805	18.66998	0.114021	0.136364	0.0325245	0.0195531	0.209072	0.0919781	0.0150506	0.0325912	0.00862573	0.0289079	0.214277	0.13494	0.0756376	0.0996312	0.030189	0.265031	0.132846	0.224826	0.125381	0.175805	0.013422	0.98315	1.00562	0.485502	0.702999	0.895886	1.11621	1.42248	2.05972	0.522469	0.3258861	0.0522871	0.0625331	0.0149149	0.00896652	0.0958747	0.0421787	0.00690183	0.0149454	0.00395553	0.0132564	0.0982619	0.0618801	0.0346854	0.0456882	0.0138439	0.121536	0.0609198	0.103099	0.0574966	0.0806195	0.00615498	2.180676
612	-30.64235	-51.0345	20.39215	0.00265273	0.0199572	0.0240962	0.00139738	0.0172513	0.0139271	0.0256022	0.0292344	0.000687469	0.00581799	0.0562147	0.0325969	0.0414336	0.00628131	0.00193626	0.0197551	0.00827195	0.0392054	0.00828069	0.00751973	0.0334295	0.227739	1.25742	0.121936	0.358347	0.726024	1.37737	2.79059	8.20106	1.521527	0.06037199	0.00670645	0.0504545	0.0609184	0.00353276	0.0436136	0.0352094	0.0647257	0.0739083	0.00173801	0.0147086	0.142118	0.0824092	0.10475	0.01588	0.00489512	0.0499434	0.0209126	0.0991163	0.0209347	0.0190109	0.0845141	0.3955491
648	-25.93024	-44.96472	19.03448	0.170272	0.216142	0.0565626	0.00772397	0.257019	0.0316552	0.0185797	0.21726	0.0367476	0.0457158	0.05767	0.0444156	0.172511	0.259965	0.137485	0.102877	0.110426	0.281495	0.0027687	0.169281	0.091917	0.337676	1.22077	0.588154	0.771934	0.922417	1.08411	1.29545	1.70023	0.3837805	0.09220274	0.0684239	0.0868567	0.0227297	0.00310388	0.103283	0.0127206	0.00746624	0.087306	0.0147671	0.0183709	0.0231747	0.0178484	0.0693235	0.104467	0.0552482	0.0413411	0.0443746	0.113119	0.0011126	0.0680257	0.0369369	2.488488
684	-30.02238	-50.02562	20.00324	0.0601439	0.054453	0.00284626	0.0475089	0.0390447	0.00810049	0.0237596	0.155476	0.0875371	0.0210857	0.0237545	0.0217129	0.00525429	0.126112	0.0715026	0.0134755	0.0167876	0.103317	0.026995	0.0392989	0.0599487	0.904456	1.03185	0.313009	0.567521	0.838005	1.19331	1.76205	3.1948	0.8398619	0.2921802	0.0596598	0.0540147	0.00282335	0.0471265	0.0387304	0.00803529	0.0235683	0.154224	0.0868326	0.0209159	0.0235633	0.0215381	0.005212	0.125097	0.070927	0.013367	0.0166525	0.102485	0.0267777	0.0389825	0.0594661	1.008114
