Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	tree_length
0	-33.24784	-53.6589	20.41105	0.0830227	0.0296698	0.00204937	0.103193	0.0404305	0.00798343	0.00215868	0.0716454	0.0539723	0.0947094	0.143579	0.178677	0.0761626	0.0311505	0.00686701	0.0627898	0.00957252	0.0014345	0.0939135	0.0159256	0.0305371	0.112872	1.29571	0.183969	0.43794	0.772908	1.29381	2.28342	5.43569	1.224146	0.02903749	0.0728625	0.0260389	0.00179857	0.0905645	0.0354827	0.00700643	0.0018945	0.0628775	0.0473673	0.083119	0.126008	0.156811	0.0668419	0.0273384	0.00602663	0.0551056	0.00840105	0.00125895	0.0824205	0.0139767	0.0268	1.139444
36	-34.26035	-52.31263	18.05227	0.0401593	0.0801222	0.175358	0.0212818	0.0824779	0.0770623	0.0103051	0.274754	0.293318	0.0762578	0.0301309	0.0559539	0.207327	0.286847	0.0488758	0.0596622	0.0363995	0.00284126	0.216249	0.214781	0.0455833	1.22312	0.925627	0.395595	0.636177	0.8684	1.15154	1.57189	2.52784	0.6705484	0.4404653	0.0171933	0.0343026	0.0750759	0.00911136	0.0353112	0.0329926	0.0044119	0.11763	0.125578	0.0326482	0.0128999	0.0239554	0.0887626	0.122808	0.0209251	0.0255431	0.0155837	0.00121643	0.0925825	0.0919537	0.0195155	2.335747
72	-28.86388	-49.94532	21.08144	0.170093	0.0619207	0.0277566	0.0080731	0.206889	0.0177846	0.011142	0.0192625	0.0152028	0.00225747	0.0547369	0.045491	0.0562221	0.0401405	0.100857	0.0187813	0.0604681	0.00767137	0.0296595	0.057823	0.0716321	0.462126	1.17929	0.802577	0.898293	0.967091	1.03403	1.11322	1.24599	0.1590228	0.1306226	0.156932	0.0571295	0.0256089	0.00744843	0.190881	0.0164085	0.0102799	0.017772	0.0140264	0.00208279	0.0505016	0.041971	0.0518719	0.0370345	0.0930532	0.017328	0.0557893	0.00707779	0.0273646	0.0533489	0.0660895	1.083865
108	-30.61691	-50.17862	19.56171	0.0272263	0.243699	0.000881192	0.0864076	0.108165	0.0524298	0.0431636	0.023286	0.0256425	0.00710758	0.286002	0.00609217	0.098732	0.0154792	0.0306579	0.0383376	0.087968	0.0237882	0.0233576	0.0539344	0.0232404	1.2557	0.914767	0.430579	0.66302	0.87967	1.13679	1.50825	2.32245	0.6092748	0.4575653	0.0208535	0.186657	0.000674933	0.0661824	0.0828469	0.0401577	0.0330604	0.0178355	0.0196404	0.00544392	0.219059	0.00466619	0.075622	0.011856	0.0234819	0.029364	0.0673775	0.0182202	0.0178903	0.0413101	0.0178005	1.305599
144	-27.7761	-49.37517	21.59907	0.0528817	0.0548732	0.00309278	0.0116249	0.0581413	0.0107955	0.0519849	0.0530789	0.0921036	0.0184999	0.087371	0.141658	0.033904	0.0146007	0.017833	0.0601578	0.00595794	0.0164432	0.0127694	0.0026585	0.0294896	0.203002	1.26567	0.736332	0.861334	0.954497	1.04767	1.16099	1.35808	0.221313	0.05346373	0.063719	0.0661187	0.0037266	0.0140073	0.0700565	0.0130078	0.0626385	0.0639566	0.110979	0.0222911	0.105276	0.170689	0.0408522	0.0175929	0.0214876	0.0724863	0.00717893	0.0198129	0.0153863	0.00320332	0.0355331	0.8299201
180	-33.45756	-48.94843	15.49087	0.106978	0.0851933	0.0710436	0.0846177	0.236509	0.0366829	0.166911	0.0214822	0.0458059	0.00501048	0.0145804	0.0501004	0.0876326	0.140319	0.0681212	0.00933567	0.00377198	0.028373	0.106252	0.0751549	0.018299	3.4783	0.173901	0.138834	0.381763	0.740504	1.35043	2.61943	7.20283	1.42768	6.667194	0.0731637	0.0582649	0.0485877	0.0578712	0.161752	0.0250879	0.114152	0.0146919	0.0313273	0.00342674	0.00997171	0.0342643	0.0599331	0.0959658	0.046589	0.00638479	0.00257971	0.0194047	0.072667	0.0513995	0.0125149	1.462173
216	-28.74166	-48.89072	20.14906	0.123663	0.0724676	0.0359298	0.0832721	0.0275368	0.0741109	0.0202107	0.0382505	0.013809	0.00689966	0.00137709	0.171487	0.138264	0.117538	0.112144	0.00130808	0.0466058	0.0183229	0.279949	0.0211323	0.0357998	0.710063	1.09665	0.58718	0.77131	0.922184	1.08438	1.2965	1.70306	0.3849796	0.2158288	0.0858726	0.050322	0.0249499	0.0578247	0.0191217	0.0514631	0.0140344	0.0265614	0.00958905	0.00479117	0.00095626	0.119082	0.0960112	0.081619	0.0778738	0.000908341	0.0323634	0.0127235	0.194398	0.0146744	0.0248596	1.440078
252	-30.97364	-48.78017	17.80653	0.0964871	0.032692	0.0297001	0.0122479	0.0183402	0.00370397	0.00550468	0.0310989	0.00082571	0.0583483	0.0297189	0.0135799	0.00520487	0.000816173	0.0269393	0.000598395	0.0117283	0.0373766	0.0264425	0.0557422	0.0012016	2.37634	0.54122	0.0711156	0.275486	0.668839	1.49513	3.62994	14.0616	1.911396	1.463572	0.193634	0.0656074	0.0596031	0.0245794	0.0368058	0.00743325	0.011047	0.0624103	0.00165706	0.117095	0.0596409	0.0272526	0.0104453	0.00163792	0.0540627	0.00120088	0.0235367	0.0750085	0.0530658	0.111865	0.0024114	0.4982977
288	-35.37798	-53.11528	17.73729	0.0113576	0.0379398	0.0102675	0.0335085	0.0177467	0.00105691	0.0126072	0.0235765	0.0678436	0.0586431	0.0220939	0.0138486	0.0295431	0.0041689	0.181206	0.00295641	0.0139962	0.00351596	0.0573282	0.0220837	0.0125298	2.48301	0.505663	0.0802114	0.292142	0.6812	1.468	3.423	12.467	1.824367	1.6368	0.017807	0.0594837	0.0160979	0.0525361	0.0278241	0.00165707	0.0197661	0.0369643	0.106368	0.0919433	0.0346398	0.0217125	0.0463189	0.00653618	0.284103	0.0046352	0.0219438	0.00551248	0.0898817	0.0346238	0.0196449	0.6378181
324	-25.86093	-46.1762	20.31527	0.166048	0.127773	0.00252785	0.0082472	0.00125234	0.0139882	0.0128084	0.0797168	0.0298421	0.158103	0.102864	0.0200635	0.0169174	0.0078767	0.0132842	0.0308394	0.349046	0.158583	0.0217188	0.00961053	0.00648726	0.588689	1.1371	0.513738	0.72265	0.903625	1.10665	1.3838	1.94652	0.4815946	0.1725698	0.124139	0.0955242	0.00188984	0.00616568	0.000936263	0.0104577	0.00957567	0.059597	0.0223102	0.118199	0.0769024	0.0149997	0.0126476	0.0058887	0.00993138	0.0230558	0.26095	0.118558	0.0162372	0.00718492	0.00484993	1.337597
